PL,rs_rewards_mean,rs_postscores_mean,rs_penalty_mean,linear_rewards_mean,linear_postscores_mean,linear_penalty_mean,compare plot
0.5,2.386,5.302,-7.194,2.137999999999998,5.354,-9.862,compare_05052006&05051902.png
0.1,3.7882999999999996,5.206,-5.588700000000001,3.5439999999999983,5.306,-8.456000000000001,compare_05052003&05051846.png
0.1,3.8082,5.26,-5.779800000000001,3.590999999999998,5.323,-8.409000000000002,compare_05052004&05051853.png
0.1,3.9050000000000007,4.601,-0.5538000000000002,3.544999999999998,5.339,-8.455000000000002,compare_05052005&05051849.png
0.5,2.7199999999999998,4.337,-0.1824000000000001,2.1969999999999983,5.317,-9.803,compare_05052007&05051855.png
0.5,2.7760000000000007,4.996,-1.3341999999999998,2.1479999999999984,5.384,-9.852,compare_05052035&05051857.png
