PL,rs_rewards_mean,rs_postscores_mean,rs_penalty_mean,linear_rewards_mean,linear_postscores_mean,linear_penalty_mean,compare plot
0.5,2.5760999999999994,5.212,-5.3841,2.137999999999998,5.354,-9.862,compare_05052006&05051837.png
0.5,2.4318999999999997,5.34,-7.200600000000001,2.1969999999999983,5.317,-9.803,compare_05052007&05051834.png
0.5,2.4037999999999995,5.297,-6.9297,2.1479999999999984,5.384,-9.852,compare_05052035&05051840.png
0.1,3.760199999999999,5.236,-5.868200000000001,3.5439999999999983,5.306,-8.456000000000001,compare_05052003&05051824.png
0.1,3.830099999999999,5.213,-4.9091000000000005,3.590999999999998,5.323,-8.409000000000002,compare_05052004&05051830.png
0.1,3.7792999999999997,5.213,-5.047700000000001,3.544999999999998,5.339,-8.455000000000002,compare_05052005&05051827.png
