linear_rewards_mean,linear_postscores_mean,linear_penalty_mean,rs_rewards_mean,rs_postscores_mean,rs_penalty_mean
2.137999999999998,5.354,-9.862,2.3909999999999996,5.312,-7.122100000000001
3.5439999999999983,5.306,-8.456000000000001,3.7302999999999993,5.236,-5.942000000000001
2.1969999999999983,5.317,-9.803,2.4905999999999993,5.29,-6.4952000000000005
3.590999999999998,5.323,-8.409000000000002,3.657699999999999,5.157,-6.213100000000001
3.544999999999998,5.339,-8.455000000000002,3.8106999999999998,5.193,-5.0735
2.1479999999999984,5.384,-9.852,2.460699999999999,5.244,-6.4656
